Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
Allegheny Center,1,870,93,147,57,115,54,30,21,56,33,39,32,84,50,16,14,9,10,81,41,68,32,68,38,73,39,26,18,25,25,12,17,21,21
Allegheny West,2,146,36,0,10,3,7,4,6,15,10,20,15,12,16,0,10,16,13,4,6,7,10,4,8,11,10,20,17,0,10,9,13,21,24
Allentown,3,1069.0,132.457540367,190.0,82.1340367936,78.0,42.8252262107,78.0,80.3056660517,117.0,73.6070648783,79.0,64.5445582524,64.0,49.2341345003,93.0,47.6759897643,82.0,66.9626761711,44.0,36.9864840178,57.0,42.8135492572,103.0,50.2493781056,36.0,32.0156211872,31.0,42.9418211072,14.0,27.8567765544,0.0,17.3205080757,3.0,16.2480768093
Arlington,4,701.0,104.465305245,70.0,42.4970587218,35.0,26.8700576851,56.0,29.0860791445,35.0,24.289915603,32.0,32.5729949498,53.0,28.6530975638,41.0,22.1133443875,41.0,35.80502758,28.0,27.440845468,66.0,36.2491379208,65.0,35.2845575287,141.0,54.2125446737,23.0,17.8044938147,6.0,16.2480768093,7.0,17.3205080757,2.0,15.0
Arlington Heights,5,144,59,48,42,23,27,43,52,0,10,8,12,17,22,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10
Banksville,6,1946.0,229.222599235,51.0,43.5889894354,72.0,75.8221603491,155.0,83.048178788,45.0,44.1021541424,49.0,43.0464865001,176.0,124.120908795,140.0,104.211323761,82.0,59.7829407105,45.0,40.1123422403,201.0,91.0823802939,284.0,136.926987844,251.0,108.189648303,126.0,71.337227308,156.0,91.2852671574,64.0,45.44227107,49.0,53.310411741
Bedford Dwellings,7,723,53,307,75,129,50,91,48,60,32,77,55,22,22,23,22,0,10,0,10,10,12,4,6,0,10,0,10,0,10,0,10,0,10
Beechview,8,3567.0,258.027130357,269.0,102.547549946,136.0,64.8228354824,244.0,100.064978889,241.0,94.7048045245,339.0,119.678736624,167.0,83.4266144584,221.0,91.673333091,306.0,120.710397233,138.0,59.3801313572,309.0,99.2018144995,328.0,102.244804269,427.0,114.01754251,279.0,102.990290805,87.0,50.1896403654,45.0,40.5832477754,31.0,36.2491379208
Beltzhoover,9,848.0,156.057681644,132.0,88.1476034841,182.0,95.5196314901,63.0,44.4409720866,23.0,26.3248931622,94.0,54.6443043693,62.0,43.5315977194,28.0,35.1710107902,50.0,43.0929228528,24.0,27.6043474836,90.0,66.0075753228,35.0,38.5875627632,43.0,36.9459064039,7.0,20.5182845286,0.0,20.0,15.0,23.1948270095,0.0,20.0
Bloomfield,10,4571.0,205.494525475,521.0,117.940663047,261.0,69.9070811864,297.0,81.1110350076,258.0,76.3282385492,276.0,75.5314504031,368.0,93.2898708328,168.0,57.7408001329,328.0,91.5423399307,216.0,59.9082632031,441.0,107.424392016,362.0,98.9343216482,519.0,103.754517974,168.0,55.488737596,155.0,63.8983567864,125.0,55.8659108937,108.0,46.9254728265
