Location,Drug Possesions
Homewood South,502
Homewood North,371
East Allegheny,370
South Side Flats,353
Carrick,317
Central Business District,312
Allegheny Center,291
Bluff,272
Middle Hill,232
Knoxville,232
Fineview,221
Lincoln-Lemington-Belmar,209
East Hills,193
Hazelwood,184
Mount Washington,178
Larimer,178
Brighton Heights,169
Perry South,168
Bloomfield,168
Marshall-Shadeland,166
Allentown,159
East Liberty,158
Central North Side,154
Golden Triangle/Civic Arena,148
Outside City,136
Sheraden,129
Brookline,127
Homewood West,125
Northview Heights,115
Beechview,111
South Side Slopes,105
Highland Park,99
North Shore,95
Central Lawrenceville,94
Garfield,93
Elliott,85
Bedford Dwellings,84
Manchester,82
Spring Hill-City View,82
Squirrel Hill South,79
Beltzhoover,79
Crawford-Roberts,78
Perry North,68
Shadyside,63
Troy Hill,63
North Oakland,61
Central Oakland,56
Bon Air,50
Chateau,49
Central Northside,49
Crafton Heights,49
Greenfield,43
Banksville,42
West Oakland,41
Lower Lawrenceville,41
Point Breeze,41
Arlington,40
West End,38
Upper Hill,38
Point Breeze North,35
St. Clair,35
Allegheny West,34
Spring Garden,32
Squirrel Hill North,32
Esplen,32
South Oakland,31
South Shore,31
Stanton Heights,30
Friendship,28
California-Kirkbride,27
Terrace Village,25
Overbrook,25
Westwood,24
Duquesne Heights,24
Strip District,23
Upper Lawrenceville,22
Lincoln Place,20
Hays,17
Morningside,17
Arlington Heights,15
Windgap,14
Polish Hill,14
Outside County,14
Fairywood,13
Troy Hill-Herrs Island,12
Oakwood,12
Outside State,11
Ridgemont,11
Summer Hill,11
Glen Hazel,9
Regent Square,8
Mount Oliver,7
New Homestead,6
Mt. Oliver Boro,5
Swisshelm Park,4
Chartiers City,4
Mt. Oliver Neighborhood,4
East Carnegie,4
