Locations,Numbers
Central Business District,3570
South Side Flats,3053
Carrick,2102
East Allegheny,1893
Homewood South,1863
Homewood North,1742
East Liberty,1652
Marshall-Shadeland,1332
Bluff,1313
Mount Washington,1280
Hazelwood,1225
Brookline,1196
Knoxville,1180
Lincoln-Lemington-Belmar,1148
Sheraden,1132
Allegheny Center,1122
Beechview,1076
East Hills,1026
Brighton Heights,978
Perry South,954
Bloomfield,880
Allentown,855
Shadyside,855
Middle Hill,844
Larimer,770
Central North Side,760
Fineview,750
Crawford-Roberts,734
Squirrel Hill South,727
North Shore,722
South Side Slopes,714
Homewood West,699
Spring Hill-City View,630
Garfield,628
Northview Heights,626
Elliott,588
Bedford Dwellings,582
Perry North,554
Crafton Heights,513
Highland Park,502
Greenfield,473
Central Oakland,469
Beltzhoover,461
Strip District,440
Manchester,439
Central Lawrenceville,398
Chateau,393
North Oakland,390
Troy Hill,379
Upper Hill,325
South Oakland,311
Point Breeze,283
Overbrook,280
Outside City,274
West Oakland,274
South Shore,268
Arlington,263
Banksville,256
Terrace Village,255
California-Kirkbride,255
Squirrel Hill North,252
West End,250
Point Breeze North,249
Lower Lawrenceville,232
Bon Air,230
Westwood,203
Spring Garden,200
Stanton Heights,199
Lincoln Place,190
Esplen,186
Duquesne Heights,177
Morningside,173
Upper Lawrenceville,170
Friendship,151
Polish Hill,144
Glen Hazel,143
Arlington Heights,130
Allegheny West,115
Mount Oliver,111
Fairywood,108
Windgap,103
Hays,98
Golden Triangle/Civic Arena,83
Oakwood,78
Summer Hill,63
Outside State,57
Outside County,49
East Carnegie,47
St. Clair,45
New Homestead,38
Swisshelm Park,38
Chartiers City,38
Regent Square,32
Ridgemont,32
Central Northside,23
Mt. Oliver Boro,18
Troy Hill-Herrs Island,6
Mt. Oliver Neighborhood,2
