_id,x,y,objectid,terminal_id,node,location,lot,rate,maxhours,date1,time1,date2,time2,restdates,resttime1,resttime2,specialev,created_user,created_date,last_edited_user,last_edited_date,ratetimea,ratetimeb,rate2
35740,-79.9228269414142,40.4624895166383,225,301520-SHARVD0001,SHER-HAR-L,SHERIDAN HARVARD LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35741,-79.9235296804104,40.462718075555,226,301521-SHARVD0002,SHER-HAR-L,SHERIDAN HARVARD LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35742,-79.9231273660623,40.4617959560818,227,302521-KIRKWD0001,SHER-KIR-L,SHERIDAN KIRKWOOD LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35743,-79.9226890015083,40.461792304442,228,302522-KIRKWD0002,SHER-KIR-L,SHERIDAN KIRKWOOD LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35744,-79.9223294271367,40.4615116505271,229,302523-KIRKWD0003,SHER-KIR-L,SHERIDAN KIRKWOOD LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35745,-79.9267233524151,40.4611868539333,230,304524-TAMELO0001,TAME-BEA-L,TAMELLO BEATTY LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35746,-79.927525653227,40.4607706689939,231,304525-TAMELO0002,TAME-BEA-L,TAMELLO BEATTY LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35747,-79.9278475540256,40.4617183266577,232,307527-EVABTY0001,EVA-BEAT-L,EVA BEATTY LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35748,-79.9277294374128,40.4616012206221,233,307528-EVABTY0002,EVA-BEAT-L,EVA BEATTY LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
35749,-79.9264176006055,40.4630574486497,234,311001-ANSLEY0001,ANSL-BEA-L,ANSLEY/BEATTY LOT,Lot,$1 Per Hour,4 Hours,Mon - Sat,~ 8AM - 10PM, , , , , ,No,,,,, , , 
